Ref,Val,Package,PosX,PosY,Rot,Side
"C118","2.2u","C_0805_2012Metric",119.722900,-122.174000,90.000000,top
"C119","2.2u","C_0805_2012Metric",121.818400,-119.062500,90.000000,top
"C120","470n","C_0603_1608Metric",105.435400,-116.078000,270.000000,top
"C121","100n","C_0603_1608Metric",112.547400,-111.391700,0.000000,top
"C122","100n","C_0603_1608Metric",106.159599,-121.406499,0.000000,top
"C123","22n","C_0603_1608Metric",107.149900,-117.729000,90.000000,top
"C124","2.2n","C_0603_1608Metric",119.913400,-115.887500,90.000000,top
"C125","100n","C_0603_1608Metric",105.435400,-119.126000,270.000000,top
"C126","220n","C_0603_1608Metric",110.858300,-140.982700,180.000000,top
"C127","220n","C_0603_1608Metric",115.303300,-140.982700,180.000000,top
"C128","220n","C_0603_1608Metric",120.357900,-140.919200,0.000000,top
"C129","220n","C_0603_1608Metric",125.323600,-140.982700,0.000000,top
"C130","470n","C_0603_1608Metric",117.690900,-141.871700,90.000000,top
"C131","470n","C_0603_1608Metric",123.024900,-141.871700,90.000000,top
"C132","2.2n","C_0603_1608Metric",136.245301,-105.344501,90.000000,top
"C133","330u","CP_Elec_8x10.5",128.346200,-129.298700,90.000000,top
"C134","1n","C_0603_1608Metric",115.303300,-142.659100,0.000000,top
"C135","1n","C_0603_1608Metric",110.845600,-142.684500,0.000000,top
"C136","1n","C_0603_1608Metric",125.323600,-142.697200,180.000000,top
"C137","1n","C_0603_1608Metric",120.294400,-142.760700,180.000000,top
"C138","100n","C_0603_1608Metric",144.005300,-118.770400,90.000000,top
"C139","2.2u","C_0805_2012Metric",143.814800,-122.072400,90.000000,top
"C140","2.2u","C_0805_2012Metric",145.910300,-118.960900,90.000000,top
"C141","470n","C_0603_1608Metric",129.527300,-115.976400,270.000000,top
"C142","100n","C_0603_1608Metric",137.045999,-111.970399,0.000000,top
"C143","100n","C_0603_1608Metric",130.251499,-121.304899,0.000000,top
"C144","22n","C_0603_1608Metric",131.241800,-117.627400,90.000000,top
"C145","2.2n","C_0603_1608Metric",144.005300,-115.785900,90.000000,top
"C146","100n","C_0603_1608Metric",129.527300,-119.024400,270.000000,top
"C147","220n","C_0603_1608Metric",134.950200,-140.881100,180.000000,top
"C148","220n","C_0603_1608Metric",139.395200,-140.881100,180.000000,top
"C149","220n","C_0603_1608Metric",144.449800,-140.817600,0.000000,top
"C150","220n","C_0603_1608Metric",149.593300,-140.881100,0.000000,top
"C151","470n","C_0603_1608Metric",141.782800,-141.770100,90.000000,top
"C152","470n","C_0603_1608Metric",147.116800,-141.770100,90.000000,top
"C153","100n","C_0603_1608Metric",136.258001,-88.644001,180.000000,top
"C154","330u","CP_Elec_8x10.5",152.793999,-129.204299,90.000000,top
"C155","1n","C_0603_1608Metric",139.395200,-142.557500,0.000000,top
"C156","1n","C_0603_1608Metric",134.950200,-142.684500,0.000000,top
"C157","1n","C_0603_1608Metric",149.593300,-142.595600,180.000000,top
"C158","1n","C_0603_1608Metric",144.386300,-142.659100,180.000000,top
"C159","2.2n","C_0603_1608Metric",93.662500,-113.728500,0.000000,top
"C160","100n","C_0603_1608Metric",94.576601,-130.117001,0.000000,top
"C161","2.2n","C_0603_1608Metric",118.986599,-113.532499,0.000000,top
"C162","100n","C_0603_1608Metric",119.900700,-129.921000,0.000000,top
"C163","2.2n","C_0603_1608Metric",143.078499,-113.430899,0.000000,top
"C164","100n","C_0603_1608Metric",143.992600,-129.819400,0.000000,top
"C165","100n","C_0603_1608Metric",95.719900,-88.582500,0.000000,top
"C166","100n","C_0603_1608Metric",120.029699,-88.361099,0.000000,top
"C167","100n","C_0603_1608Metric",144.195501,-88.580501,0.000000,top
"C168","100n","C_0603_1608Metric",86.639101,-130.180501,180.000000,top
"C169","100n","C_0603_1608Metric",111.963200,-129.984500,180.000000,top
"C170","100n","C_0603_1608Metric",136.055100,-129.882900,180.000000,top
"C171","100n","C_0603_1608Metric",76.149200,-103.784400,270.000000,top
"D1","SMBJ26A","D_SMB",174.117000,-135.826500,90.000000,top
"D2","LED","LED_0805_2012Metric",160.020000,-139.827000,180.000000,top
"D3","3.3V","D_SOD-323",154.432000,-104.838500,0.000000,top
"D4","3.3V","D_SOD-323",154.940000,-97.726500,0.000000,top
"D5","10V","D_SOD-323",154.940000,-95.948500,0.000000,top
"D6","10V","D_SOD-323",154.432000,-103.060500,0.000000,top
"D7","LED","LED_0805_2012Metric",165.100000,-67.754500,0.000000,top
"D8","LED","LED_0805_2012Metric",171.450000,-68.961000,90.000000,top
"D9","3.3V","D_SOD-323",157.734000,-104.838500,0.000000,top
"D10","3.3V","D_SOD-323",157.988000,-97.726500,0.000000,top
"D11","10V","D_SOD-323",157.734000,-103.060500,0.000000,top
"D12","10V","D_SOD-323",157.988000,-95.948500,0.000000,top
"D13","LED","LED_0805_2012Metric",165.100000,-81.216500,0.000000,top
"D14","LED","LED_0805_2012Metric",171.450000,-80.010000,90.000000,top
"D15","3.3V","D_SOD-323",161.290000,-97.726500,0.000000,top
"D16","3.3V","D_SOD-323",161.290000,-104.838500,0.000000,top
"D17","10V","D_SOD-323",161.290000,-95.948500,0.000000,top
"D18","10V","D_SOD-323",161.290000,-103.060500,0.000000,top
"D19","LED","LED_0805_2012Metric",171.450000,-91.122500,90.000000,top
"D20","LED","LED_0805_2012Metric",171.450000,-102.235000,90.000000,top
"D21","B230","D_SMB",81.559400,-76.441300,90.000000,top
"F2","Fuse 10A","Fuse_1206_3216Metric",175.133000,-68.834000,180.000000,top
"F3","Fuse 1A","Fuse_0603_1608Metric",165.100000,-73.088500,0.000000,top
"F4","Fuse 10A","Fuse_1206_3216Metric",175.133000,-80.010000,180.000000,top
"F5","Fuse 1A","Fuse_0603_1608Metric",165.100000,-75.628500,180.000000,top
"F6","Fuse 10A","Fuse_1206_3216Metric",175.133000,-91.313000,180.000000,top
"F7","Fuse 10A","Fuse_1206_3216Metric",175.133000,-102.362000,180.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",78.994000,-141.998700,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",180.111400,-141.990000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",104.927400,-98.361500,0.000000,top
"IC1","TMC5160-TA","TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias",94.310200,-100.139500,0.000000,top
"IC2","TMC5160-TA","TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias",118.619999,-99.918099,0.000000,top
"IC3","TMC5160-TA","TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias",142.785801,-100.137501,0.000000,top
"IC4","TMC5160-TA","TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias",88.048801,-118.242501,180.000000,top
